LOR,theft_start,theft_end,type_of_bike,amount_of_damage_in_euro
02400623,2022-01-01 16:00:00,2022-01-01 19:00:00,Herrenfahrrad,1754
04501043,2022-01-01 13:00:00,2022-01-03 10:00:00,diverse Fahrräder,1109
04501152,2022-01-01 00:00:00,2022-01-01 00:00:00,Kinderfahrrad,400
08100103,2022-01-01 12:00:00,2022-01-03 15:00:00,Fahrrad,1093
09200613,2022-01-01 08:00:00,2022-01-01 08:00:00,Fahrrad,1
03500934,2022-01-01 03:00:00,2022-01-02 17:00:00,Damenfahrrad,1259
03601142,2022-01-01 14:00:00,2022-01-01 14:00:00,Herrenfahrrad,1000
01200521,2022-01-01 00:00:00,2022-01-01 00:00:00,Mountainbike,240
03500936,2022-01-01 18:00:00,2022-01-02 11:00:00,Damenfahrrad,498
08100104,2022-01-01 15:00:00,2022-01-01 18:00:00,Herrenfahrrad,3000
01401043,2022-01-01 09:00:00,2022-01-01 09:00:00,Fahrrad,608
03500934,2022-01-01 02:00:00,2022-01-02 14:00:00,Herrenfahrrad,650
03601140,2022-01-01 14:00:00,2022-01-03 12:00:00,Damenfahrrad,1299
01200624,2022-01-01 12:00:00,2022-01-03 10:00:00,Damenfahrrad,780
07200308,2022-01-01 00:00:00,2022-01-02 10:00:00,Herrenfahrrad,2006
09501940,2022-01-01 19:00:00,2022-01-02 18:00:00,Herrenfahrrad,449
07200308,2022-01-01 00:00:00,2022-01-02 10:00:00,diverse Fahrräder,1600
02100106,2022-01-01 04:00:00,2022-01-01 08:00:00,Herrenfahrrad,190
01300730,2022-01-01 20:00:00,2022-01-01 20:00:00,Herrenfahrrad,150
01100206,2022-01-01 19:00:00,2022-01-01 21:00:00,Herrenfahrrad,2445
03601348,2022-01-02 07:00:00,2022-01-03 09:00:00,Herrenfahrrad,1200
06100102,2022-01-02 20:00:00,2022-01-04 16:00:00,Damenfahrrad,4500
03701658,2022-01-02 20:00:00,2022-01-03 12:00:00,Herrenfahrrad,800
07400720,2022-01-02 08:00:00,2022-01-02 18:00:00,Damenfahrrad,300
07200413,2022-01-02 08:00:00,2022-01-02 17:00:00,Damenfahrrad,660
04501042,2022-01-02 11:00:00,2022-01-02 11:00:00,Herrenfahrrad,598
07400927,2022-01-02 18:00:00,2022-01-04 20:00:00,Herrenfahrrad,1400
04300622,2022-01-02 07:00:00,2022-01-02 19:00:00,Damenfahrrad,886
06300528,2022-01-02 09:00:00,2022-01-02 14:00:00,Herrenfahrrad,400
01100206,2022-01-02 14:00:00,2022-01-02 20:00:00,Damenfahrrad,1698
02300417,2022-01-02 06:00:00,2022-01-02 06:00:00,Herrenfahrrad,780
02300315,2022-01-02 17:00:00,2022-01-03 13:00:00,Herrenfahrrad,960
02200211,2022-01-02 14:00:00,2022-01-04 08:00:00,Herrenfahrrad,2049
08100314,2022-01-02 13:00:00,2022-01-02 15:00:00,Herrenfahrrad,220
08100415,2022-01-02 16:00:00,2022-01-02 19:00:00,Damenfahrrad,1094
12200515,2022-01-02 17:00:00,2022-01-02 20:00:00,Herrenfahrrad,770
03701554,2022-01-02 19:00:00,2022-01-03 08:00:00,Herrenfahrrad,900
06100102,2022-01-02 14:00:00,2022-01-04 10:00:00,Herrenfahrrad,869
01401046,2022-01-02 23:00:00,2022-01-03 10:00:00,Herrenfahrrad,600
04200205,2022-01-02 08:00:00,2022-01-02 20:00:00,Herrenfahrrad,900
08100417,2022-01-02 18:00:00,2022-01-03 13:00:00,Damenfahrrad,644
02500729,2022-01-02 18:00:00,2022-01-02 20:00:00,Herrenfahrrad,2000
06300528,2022-01-02 19:00:00,2022-01-03 09:00:00,Herrenfahrrad,1000
04300622,2022-01-02 12:00:00,2022-01-02 12:00:00,Mountainbike,1
08100415,2022-01-02 15:00:00,2022-01-02 19:00:00,Damenfahrrad,849
11401135,2022-01-02 11:00:00,2022-01-03 07:00:00,Damenfahrrad,450
01400942,2022-01-02 12:00:00,2022-01-03 08:00:00,Herrenfahrrad,766
01200518,2022-01-02 13:00:00,2022-01-03 10:00:00,Herrenfahrrad,1648
02400625,2022-01-03 18:00:00,2022-01-03 21:00:00,Fahrrad,550
02500726,2022-01-03 22:00:00,2022-01-05 14:00:00,Damenfahrrad,400
07400823,2022-01-03 20:00:00,2022-01-04 08:00:00,Herrenfahrrad,399
03400721,2022-01-03 07:00:00,2022-01-03 14:00:00,Herrenfahrrad,400
07601544,2022-01-03 07:00:00,2022-01-03 20:00:00,Damenfahrrad,600
01400942,2022-01-03 12:00:00,2022-01-05 11:00:00,Mountainbike,529
07200411,2022-01-03 17:00:00,2022-01-03 19:00:00,Damenfahrrad,724
04501151,2022-01-03 23:00:00,2022-01-04 16:00:00,Herrenfahrrad,2999
08100206,2022-01-03 19:00:00,2022-01-03 21:00:00,Herrenfahrrad,279
09502043,2022-01-03 07:00:00,2022-01-03 17:00:00,Mountainbike,600
09200818,2022-01-03 07:00:00,2022-01-03 09:00:00,Herrenfahrrad,299
04501045,2022-01-03 08:00:00,2022-01-03 12:00:00,Mountainbike,2270
02300315,2022-01-03 07:00:00,2022-01-03 16:00:00,Kinderfahrrad,574
12400721,2022-01-03 09:00:00,2022-01-03 21:00:00,Herrenfahrrad,1018
