LOR;theft_start;theft_end;type_of_bike;amount_of_damage_in_euro
2400623;01.01.2022 16:00;01.01.2022 19:00;Herrenfahrrad;1754
4501043;01.01.2022 13:00;03.01.2022 10:00;diverse Fahrräder;1109
4501152;01.01.2022 00:00;01.01.2022 00:00;Kinderfahrrad;400
8100103;01.01.2022 12:00;03.01.2022 15:00;Fahrrad;1093
9200613;01.01.2022 08:00;01.01.2022 08:00;Fahrrad;1
3500934;01.01.2022 03:00;02.01.2022 17:00;Damenfahrrad;1259
3601142;01.01.2022 14:00;01.01.2022 14:00;Herrenfahrrad;1000
1200521;01.01.2022 00:00;01.01.2022 00:00;Mountainbike;240
3500936;01.01.2022 18:00;02.01.2022 11:00;Damenfahrrad;498
8100104;01.01.2022 15:00;01.01.2022 18:00;Herrenfahrrad;3000
1401043;01.01.2022 09:00;01.01.2022 09:00;Fahrrad;608
3500934;01.01.2022 02:00;02.01.2022 14:00;Herrenfahrrad;650
3601140;01.01.2022 14:00;03.01.2022 12:00;Damenfahrrad;1299
1200624;01.01.2022 12:00;03.01.2022 10:00;Damenfahrrad;780
7200308;01.01.2022 00:00;02.01.2022 10:00;Herrenfahrrad;2006
9501940;01.01.2022 19:00;02.01.2022 18:00;Herrenfahrrad;449
7200308;01.01.2022 00:00;02.01.2022 10:00;diverse Fahrräder;1600
2100106;01.01.2022 04:00;01.01.2022 08:00;Herrenfahrrad;190
1300730;01.01.2022 20:00;01.01.2022 20:00;Herrenfahrrad;150
1100206;01.01.2022 19:00;01.01.2022 21:00;Herrenfahrrad;2445
3601348;02.01.2022 07:00;03.01.2022 09:00;Herrenfahrrad;1200
6100102;02.01.2022 20:00;04.01.2022 16:00;Damenfahrrad;4500
3701658;02.01.2022 20:00;03.01.2022 12:00;Herrenfahrrad;800
7400720;02.01.2022 08:00;02.01.2022 18:00;Damenfahrrad;300
7200413;02.01.2022 08:00;02.01.2022 17:00;Damenfahrrad;660
4501042;02.01.2022 11:00;02.01.2022 11:00;Herrenfahrrad;598
7400927;02.01.2022 18:00;04.01.2022 20:00;Herrenfahrrad;1400
4300622;02.01.2022 07:00;02.01.2022 19:00;Damenfahrrad;886
6300528;02.01.2022 09:00;02.01.2022 14:00;Herrenfahrrad;400
1100206;02.01.2022 14:00;02.01.2022 20:00;Damenfahrrad;1698
2300417;02.01.2022 06:00;02.01.2022 06:00;Herrenfahrrad;780
2300315;02.01.2022 17:00;03.01.2022 13:00;Herrenfahrrad;960
2200211;02.01.2022 14:00;04.01.2022 08:00;Herrenfahrrad;2049
8100314;02.01.2022 13:00;02.01.2022 15:00;Herrenfahrrad;220
8100415;02.01.2022 16:00;02.01.2022 19:00;Damenfahrrad;1094
12200515;02.01.2022 17:00;02.01.2022 20:00;Herrenfahrrad;770
3701554;02.01.2022 19:00;03.01.2022 08:00;Herrenfahrrad;900
6100102;02.01.2022 14:00;04.01.2022 10:00;Herrenfahrrad;869
1401046;02.01.2022 23:00;03.01.2022 10:00;Herrenfahrrad;600
4200205;02.01.2022 08:00;02.01.2022 20:00;Herrenfahrrad;900
8100417;02.01.2022 18:00;03.01.2022 13:00;Damenfahrrad;644
2500729;02.01.2022 18:00;02.01.2022 20:00;Herrenfahrrad;2000
6300528;02.01.2022 19:00;03.01.2022 09:00;Herrenfahrrad;1000
4300622;02.01.2022 12:00;02.01.2022 12:00;Mountainbike;1
8100415;02.01.2022 15:00;02.01.2022 19:00;Damenfahrrad;849
11401135;02.01.2022 11:00;03.01.2022 07:00;Damenfahrrad;450
1400942;02.01.2022 12:00;03.01.2022 08:00;Herrenfahrrad;766
1200518;02.01.2022 13:00;03.01.2022 10:00;Herrenfahrrad;1648
2400625;03.01.2022 18:00;03.01.2022 21:00;Fahrrad;550
2500726;03.01.2022 22:00;05.01.2022 14:00;Damenfahrrad;400
7400823;03.01.2022 20:00;04.01.2022 08:00;Herrenfahrrad;399
3400721;03.01.2022 07:00;03.01.2022 14:00;Herrenfahrrad;400
7601544;03.01.2022 07:00;03.01.2022 20:00;Damenfahrrad;600
1400942;03.01.2022 12:00;05.01.2022 11:00;Mountainbike;529
7200411;03.01.2022 17:00;03.01.2022 19:00;Damenfahrrad;724
4501151;03.01.2022 23:00;04.01.2022 16:00;Herrenfahrrad;2999
8100206;03.01.2022 19:00;03.01.2022 21:00;Herrenfahrrad;279
9502043;03.01.2022 07:00;03.01.2022 17:00;Mountainbike;600
9200818;03.01.2022 07:00;03.01.2022 09:00;Herrenfahrrad;299
4501045;03.01.2022 08:00;03.01.2022 12:00;Mountainbike;2270
2300315;03.01.2022 07:00;03.01.2022 16:00;Kinderfahrrad;574
12400721;03.01.2022 09:00;03.01.2022 21:00;Herrenfahrrad;1018
9401431;03.01.2022 07:00;03.01.2022 16:00;Fahrrad;798
2500833;03.01.2022 16:00;04.01.2022 09:00;Herrenfahrrad;750
8100101;03.01.2022 20:00;03.01.2022 21:00;Herrenfahrrad;1600
1300834;03.01.2022 15:00;03.01.2022 17:00;Herrenfahrrad;970
3601452;03.01.2022 18:00;03.01.2022 21:00;Damenfahrrad;699
6100206;03.01.2022 18:00;04.01.2022 07:00;Herrenfahrrad;290
6100102;03.01.2022 02:00;03.01.2022 12:00;Herrenfahrrad;2500
2200211;03.01.2022 17:00;04.01.2022 07:00;Herrenfahrrad;629
8100310;03.01.2022 20:00;03.01.2022 23:00;Herrenfahrrad;700
2400522;03.01.2022 16:00;05.01.2022 15:00;Fahrrad;600
1200520;03.01.2022 20:00;05.01.2022 09:00;Fahrrad;580
9200818;03.01.2022 07:00;03.01.2022 13:00;Herrenfahrrad;400
3601346;03.01.2022 11:00;03.01.2022 12:00;Damenfahrrad;994
10100103;03.01.2022 18:00;04.01.2022 07:00;Damenfahrrad;1200
3601453;03.01.2022 19:00;03.01.2022 19:00;Herrenfahrrad;1096
1100313;03.01.2022 11:00;04.01.2022 12:00;Herrenfahrrad;600
12200309;03.01.2022 13:00;04.01.2022 09:00;Herrenfahrrad;450
3400828;03.01.2022 18:00;04.01.2022 12:00;Damenfahrrad;862
1200519;04.01.2022 19:00;05.01.2022 05:00;Damenfahrrad;449
6300527;04.01.2022 09:00;04.01.2022 17:00;Damenfahrrad;1213
7300515;04.01.2022 16:00;05.01.2022 06:00;Herrenfahrrad;625
3601450;04.01.2022 07:00;04.01.2022 16:00;Herrenfahrrad;3220
2200209;04.01.2022 18:00;05.01.2022 01:00;Herrenfahrrad;1849
4400831;04.01.2022 08:00;04.01.2022 18:00;Herrenfahrrad;650
6300634;04.01.2022 08:00;04.01.2022 14:00;Herrenfahrrad;566
8100209;04.01.2022 19:00;05.01.2022 10:00;Fahrrad;130
4200309;04.01.2022 22:00;05.01.2022 07:00;Herrenfahrrad;500
1400938;04.01.2022 22:00;06.01.2022 13:00;Herrenfahrrad;1249
4501045;04.01.2022 22:00;05.01.2022 10:00;Herrenfahrrad;554
2300419;04.01.2022 21:00;06.01.2022 17:00;Damenfahrrad;290
2300419;04.01.2022 09:00;04.01.2022 16:00;Kinderfahrrad;554
7300515;04.01.2022 18:00;06.01.2022 18:00;Fahrrad;1266
10200418;04.01.2022 13:00;04.01.2022 17:00;Herrenfahrrad;499
4501045;04.01.2022 23:00;05.01.2022 08:00;Fahrrad;5500
4100101;04.01.2022 18:00;05.01.2022 16:00;Damenfahrrad;1530
8100105;04.01.2022 21:00;04.01.2022 21:00;Fahrrad;1500
11501340;04.01.2022 08:00;04.01.2022 16:00;Kinderfahrrad;650
3601450;04.01.2022 13:00;04.01.2022 13:00;Mountainbike;2800
4400835;04.01.2022 14:00;04.01.2022 18:00;Damenfahrrad;613
9501940;04.01.2022 09:00;05.01.2022 07:00;Kinderfahrrad;349
4300624;04.01.2022 07:00;04.01.2022 14:00;Fahrrad;942
1100206;04.01.2022 08:00;04.01.2022 18:00;Fahrrad;679
9200511;04.01.2022 14:00;04.01.2022 14:00;Herrenfahrrad;775
3701555;04.01.2022 18:00;05.01.2022 08:00;Damenfahrrad;538
2200213;04.01.2022 11:00;04.01.2022 12:00;Herrenfahrrad;500
6300634;04.01.2022 16:00;05.01.2022 10:00;Fahrrad;1022
1100205;04.01.2022 08:00;04.01.2022 13:00;Damenfahrrad;1100
9501940;04.01.2022 15:00;04.01.2022 18:00;Herrenfahrrad;500
11501340;04.01.2022 21:00;05.01.2022 12:00;Herrenfahrrad;599
11300722;04.01.2022 16:00;04.01.2022 17:00;diverse Fahrräder;350
8100208;04.01.2022 17:00;05.01.2022 07:00;Herrenfahrrad;778
12200515;04.01.2022 06:00;04.01.2022 07:00;Herrenfahrrad;1680
3701554;04.01.2022 17:00;04.01.2022 18:00;Damenfahrrad;404
3400826;04.01.2022 20:00;05.01.2022 11:00;Herrenfahrrad;4700
3100103;04.01.2022 07:00;04.01.2022 17:00;Damenfahrrad;1585
