id;schulname;bezirk;schulart;baumassnahme;beschreibung;gebaute_schulplaetze;schulplaetze_nach_baumassnahme;zuegigkeit_nach_baumassnahme;nutzungsuebergabe;gesamtkosten;strasse;plz;ort;berliner_schulnummer
3;"Grundschule Wolkenstein";Pankow;Grundschule;Erweiterung;"Erweiterung der Schule durch einen Modularen Ergänzungsbau";144;504;3,5-zügig;2013/2014;"k. A.";"Neumannstr. 65";13189;Berlin;03G39
6;"Grundschule am Wasserturm";Pankow;Grundschule;Erweiterung;"Erweiterung der Schule durch einen Modularen Ergänzungsbau";216;432;3-zügig;2014/2015;"rund 3 Mio. Euro";"Tino-Schwierzina-Str. 66";13089;Berlin;03G22
9;Mendel-Grundschule;Pankow;Grundschule;Erweiterung;"Erweiterung der Schule durch einen Modularen Ergänzungsbau";216;504;3,5-zügig;2014/2015;"rund 2,5 Mio. Euro";"Stiftsweg 3";13187;Berlin;03G34
12;"Grundschule Wilhelmsruh";Pankow;Grundschule;Erweiterung;"Erweiterung der Schule durch einen Modularen Ergänzungsbau";216;504;3,5-zügig;2014/2015;"rund 2,5 Mio. Euro";"Lessingstr. 44";13158;Berlin;03G43
15;"Karlshorster Schule";Lichtenberg;Grundschule;Erweiterung;"Erweiterung der Schule durch einen Modularen Ergänzungsbau";432;576;4-zügig;2014/2015;"rund 4 Mio. Euro";"Lisztstr. 6";10318;Berlin;11G13
18;Richard-Wagner-Schule;Lichtenberg;Grundschule;Erweiterung;"Erweiterung der Schule durch einen Modularen Ergänzungsbau";216;504;3,5-zügig;2014/2015;"rund 2,5 Mio. Euro";"Ehrenfelsstr. 36";10318;Berlin;11G14
21;Brodowin-Schule;Lichtenberg;Grundschule;Erweiterung;"Erweiterung der Schule durch einen Modularen Ergänzungsbau";432;648;4,5-zügig;2014/2015;"rund 4 Mio. Euro";"Liebenwalder Str. 22";13055;Berlin;11G17
24;Hausotter-Grundschule;Reinickendorf;Grundschule;Erweiterung;"Erweiterung der Schule durch einen Modularen Ergänzungsbau";216;720;5-zügig;2014/2015;"rund 2,5 Mio. Euro";"Hausotterplatz 4";13409;Berlin;12G06
27;"Schule auf dem lichten Berg (Filiale)";Lichtenberg;Grundschule;Reaktivierung;"Reaktivierung Schulstandort (Sanierung Schulgebäude und Außenanlagen)";216;216;1,5-zügig;2014/2015;"rund 2 Mio. Euro";"Siegfriedstraße 208-210";10365;Berlin;11G05
30;"Grundschule im Rosenthal";Pankow;Grundschule;Erweiterung;"Erweiterung der Schule durch einen Modularen Ergänzungsbau";216;504;3,5-zügig;2015/2016;"rund 3 Mio. Euro";"Kastanienallee 59";13158;Berlin;03G13
33;Klecks-Grundschule;Pankow;Grundschule;Erweiterung;"Erweiterung der Schule durch einen Modularen Ergänzungsbau";216;504;3,5-zügig;2015/2016;"rund 3 Mio. Euro";"Brixener Str. 40";13187;Berlin;03G37
36;Siegerland-Grundschule;Spandau;Grundschule;Erweiterung;"Erweiterung der Schule durch einen Modularen Ergänzungsbau";216;432;3-zügig;2015/2016;"rund 3 Mio. Euro";"Hermann-Schmidt-Weg 4";13589;Berlin;05G06
39;"Schule am Berg";Treptow-Köpenick;Grundschule;Erweiterung;"Erweiterung der Schule durch einen Modularen Ergänzungsbau";216;432;3-zügig;2015/2016;"rund 3 Mio. Euro";"Köpenicker Str. 31";12524;Berlin;09G10
42;"Grundschule am Bürgerpark";Marzahn-Hellersdorf;Grundschule;Erweiterung;"Erweiterung der Schule durch einen Modularen Ergänzungsbau";432;648;4,5-zügig;2015/2016;"rund 4 Mio. Euro";"Jan-Petersen-Str. 18B";12679;Berlin;10G09
45;Pusteblume-Grundschule;Marzahn-Hellersdorf;Grundschule;Erweiterung;"Erweiterung der Schule durch einen Modularen Ergänzungsbau";432;576;4-zügig;2015/2016;"rund 4 Mio. Euro";"Kastanienallee 118";12627;Berlin;10G18
48;Bürgermeister-Ziethen-Schule;Lichtenberg;Grundschule;Erweiterung;"Erweiterung der Schule durch einen Modularen Ergänzungsbau";216;504;3,5-zügig;2015/2016;"rund 3 Mio. Euro";"Massower Str. 39";10315;Berlin;11G09
51;Kolumbus-Grundschule;Reinickendorf;Grundschule;Erweiterung;"Erweiterung der Schule durch einen Modularen Ergänzungsbau";216;504;3,5-zügig;2015/2016;"rund 3 Mio. Euro";"Büchsenweg 23A";13409;Berlin;12G05
54;Rosa-Luxemburg-Gymnasium;Pankow;Gymnasium;Erweiterung;"Erweiterung der Schule durch einen Modularen Ergänzungsbau";348;1060;"3-zügig (Klasse 5/6), 5-zügig (Klasse 7-10), 6-zügig (ab Klasse 11)";2015/2016;"rund 4 Mio. Euro";"Kissingenstr. 12";13189;Berlin;03Y10
57;Hufeland-Schule;Pankow;"Integrierte Sekundarschule";Erweiterung;"Erweiterung der Schule durch einen Modularen Ergänzungsbau";300;600;6-zügig;2015/2016;"rund 3 Mio. Euro";"Walter-Friedrich-Str. 16-18";13125;Berlin;03K10
