local_district_name,total,< 6,6 - 14,15 - 17,18 - 26,27 - 44,45 - 54,55 - 64,65 <=,female_share
Mitte,107875,5873,7533,2253,10880,41003,14672,11923,13738,53117
Moabit,84113,4471,5726,1825,10639,31859,9345,9583,10665,40155
Hansaviertel,6075,194,286,75,995,1928,607,746,1244,2952
Tiergarten,16313,789,1066,295,2065,5826,1874,1939,2459,7685
Wedding,86926,4567,5876,1984,11714,31915,9590,9882,11398,42129
Gesundbrunnen,95832,5668,8963,2946,13191,32214,11429,10085,11336,46326
Friedrichshain,141238,8089,9851,2580,13897,63628,18140,12172,12881,68568
Kreuzberg,152216,7753,11705,3992,16132,52642,21614,19921,18457,74689
Prenzlauer Berg,168947,8997,13699,4264,15965,62509,27512,19202,16799,85104
Weißensee,56963,3293,5059,1558,5119,18174,7618,7225,8917,29029
Blankenburg,6944,298,734,233,426,1213,964,1335,1741,3534
Heinersdorf,8859,568,809,230,803,2387,1059,1361,1642,4316
Karow,20196,1313,2265,629,1598,4647,2573,3185,3986,10361
Stadtrandsiedlung Malchow,1100,36,86,33,60,141,165,219,360,547
Pankow,68301,3965,6313,1929,6228,21395,9832,8346,10293,35623
Blankenfelde,2455,116,226,76,274,472,303,426,562,1095
Buch,17500,1152,1668,448,1708,4663,1906,2065,3890,8762
Französisch Buchholz,21888,1241,2215,724,1627,4998,3125,3816,4142,11098
Niederschönhausen,32998,1762,3329,1016,3101,7761,4771,4922,6336,17384
Rosenthal,9903,502,949,323,864,1970,1446,1817,2032,5090
Wilhelmsruh,8253,479,680,207,660,2064,1055,1231,1877,4289
Charlottenburg,130013,6412,8120,2694,14040,39390,15384,17849,26124,66558
Westend,40951,1689,2902,1042,4468,9160,4610,5928,11152,21382
Charlottenburg-Nord,19439,1073,1631,565,1992,5002,2459,2618,4099,9909
Wilmersdorf,101557,4628,6834,2300,9804,26932,12132,14679,24248,52656
Schmargendorf,24133,1251,1787,560,2198,5917,2824,3359,6237,12922
Grunewald,11213,586,998,299,862,2085,1449,1592,3342,5873
Halensee,15775,704,1012,297,1474,4538,1908,2276,3566,8114
Spandau,41759,2525,3711,1149,4948,12426,4951,5322,6727,20502
