PLZ,district_name,total,< 6,6 - 14,15 - 17,18 - 26,27 - 44,45 - 54,55 - 64,65 <=,female_share
10115,Mitte,28315,1706,2294,733,2727,11587,4368,2930,1970,13967
10117,Mitte,17438,922,1079,306,1648,6414,2249,2158,2662,8491
10119,Mitte,14887,756,1087,382,1329,5756,2571,1696,1310,7363
10119,Pankow,4970,243,418,116,515,1801,892,677,308,2403
10178,Friedrichshain-Kreuzberg,72,0,9,0,3,33,3,3,21,36
10178,Mitte,14860,764,935,265,1505,5445,1676,1683,2587,7202
10179,Friedrichshain-Kreuzberg,444,48,36,10,27,129,37,45,112,248
10179,Mitte,27982,1442,1761,458,3358,10004,3103,2923,4933,13849
10243,Friedrichshain-Kreuzberg,33257,1742,2086,584,3954,13281,3713,3219,4678,16228
10245,Friedrichshain-Kreuzberg,37480,2268,2653,620,3556,18294,5085,2859,2145,17872
10247,Friedrichshain-Kreuzberg,40109,2288,2890,797,3800,19320,5594,3214,2206,19406
10247,Pankow,1699,126,354,102,120,432,383,125,57,839
10249,Friedrichshain-Kreuzberg,29876,1743,2177,569,2557,12571,3708,2832,3719,14778
10249,Pankow,1580,96,133,43,255,562,214,89,188,819
10315,Lichtenberg,37224,2156,2672,707,4028,12994,3709,3822,7136,18130
10317,Lichtenberg,25891,1830,2260,584,2534,11367,3202,2253,1861,12470
10318,Lichtenberg,30981,2180,3362,872,2859,9193,3883,3854,4778,15887
10319,Lichtenberg,27462,1759,1990,560,2872,7726,2537,2899,7119,14423
10365,Lichtenberg,29075,1833,2338,645,3299,10347,3302,3004,4307,14389
10367,Lichtenberg,22853,1276,1685,464,2279,7889,2406,2462,4392,11598
10369,Lichtenberg,21160,1090,1359,401,2340,6210,2059,2256,5445,10782
10405,Pankow,32679,1853,2860,856,3028,12197,5405,3750,2730,16425
10407,Pankow,27549,1628,2364,777,2832,9671,4169,3261,2847,13699
10409,Pankow,23709,1063,1386,440,2115,7877,2697,2742,5389,12431
10435,Mitte,4402,283,377,109,313,1803,708,533,276,2248
10435,Pankow,13452,729,1191,414,1247,4870,2537,1705,759,6651
10437,Pankow,33520,1684,2876,883,3128,12768,6442,3866,1873,16775
